Cell	Treat
NHBE	SARSCoV2
NHBE	SARSCoV2
NHBE	SARSCoV2
A549	SARSCoV2
A549	SARSCoV2
A549	SARSCoV2
A549	SARSCoV2
A549	SARSCoV2
A549	SARSCoV2
A549ACE2	SARSCoV2
A549ACE2	SARSCoV2
A549ACE2	SARSCoV2
Calu3	SARSCoV2
Calu3	SARSCoV2
Calu3	SARSCoV2
NHBE	Mock
NHBE	Mock
NHBE	Mock
A549	Mock
A549	Mock
A549	Mock
A549	Mock
A549	Mock
A549	Mock
A549	Mock
A549	Mock
A549	Mock
A549	Mock
A549ACE2	Mock
A549ACE2	Mock
A549ACE2	Mock
Calu3	Mock
Calu3	Mock
Calu3	Mock
A549	Mock
A549	Mock
A549	Mock
NHBE	Mock
NHBE	Mock
NHBE	Mock
NHBE	Mock
