"s_2"	"s_3"	"s_4"	"s_5"	"s_6"	"s_7"	"s_8"	"s_9"	"s_10"	"s_11"	"s_12"	"s_13"	"s_14"	"s_15"	"s_16"	"s_17"	"s_18"	"s_19"	"s_20"	"s_21"	"s_22"	"s_23"	"s_24"	"s_25"	"s_26"	"s_27"	"s_28"	"s_29"	"s_30"	"s_31"	"s_32"	"s_33"	"s_34"	"s_35"	"s_36"	"s_37"	"s_38"	"s_39"	"s_40"	"s_42"	"s_43"	"s_44"	"s_45"	"s_46"	"s_47"	"s_48"	"s_49"	"s_50"	"s_51"	"s_52"	"s_53"	"s_54"	"s_55"	"s_56"	"s_57"	"s_58"	"s_59"	"s_60"	"s_61"	"s_62"	"s_63"	"s_64"	"s_65"	"s_66"	"s_67"	"s_68"	"s_69"	"s_70"	"s_71"	"s_72"	"s_73"	"s_74"	"s_75"	"s_76"	"s_77"	"s_78"	"s_79"	"s_80"	"s_81"	"s_82"	"s_83"	"s_84"	"s_85"	"s_86"	"s_87"	"s_88"	"s_89"	"s_90"	"s_91"	"s_92"	"s_93"	"s_94"	"s_95"	"s_96"	"s_97"	"s_98"	"s_99"	"s_100"	"s_101"	"s_102"	"s_103"	"s_104"	"s_105"	"s_106"	"s_107"	"s_108"	"s_109"	"s_110"	"s_111"	"s_112"	"s_113"	"s_114"	"s_115"	"s_116"	"s_117"	"s_118"	"s_119"	"s_120"	"s_121"	"s_122"	"s_123"	"s_124"	"s_125"	"s_126"	"s_127"	"s_128"	"s_129"	"s_130"	"s_131"	"s_132"	"s_133"	"s_134"	"s_135"	"s_136"	"s_137"	"s_138"	"s_139"	"s_140"	"s_141"	"s_142"	"s_143"	"s_144"	"s_145"	"s_146"	"s_147"	"s_148"	"s_149"	"s_150"	"s_151"	"s_152"	"s_153"	"s_154"	"s_155"	"s_156"	"s_157"	"s_158"	"s_159"	"s_160"	"s_161"	"s_162"	"s_163"	"s_164"	"s_165"	"s_166"	"s_167"	"s_168"	"s_169"	"s_170"	"s_171"	"s_172"	"s_173"	"s_174"	"s_175"	"s_176"	"s_177"	"s_178"	"s_179"	"s_180"	"s_181"	"s_182"	"s_183"	"s_184"	"s_185"	"s_186"	"s_187"	"s_188"	"s_189"	"s_190"	"s_191"	"s_192"	"s_193"	"s_194"	"s_195"	"s_196"	"s_197"	"s_198"	"s_199"	"s_200"	"s_201"	"s_202"	"s_203"	"s_204"	"s_205"	"s_206"	"s_207"	"s_208"	"s_209"	"s_210"	"s_211"	"s_212"	"s_213"	"s_214"	"s_215"	"s_216"	"s_217"	"s_218"	"s_219"	"s_220"	"s_221"	"s_222"	"s_223"	"s_224"	"s_225"	"s_226"	"s_227"	"s_228"	"s_229"	"s_230"	"s_231"	"s_232"	"s_233"	"s_234"	"s_235"	"s_236"	"s_237"	"s_238"	"s_239"	"s_240"	"s_241"	"s_242"	"s_243"	"s_244"	"s_245"	"s_246"	"s_247"
"tax_36"	27	57	2	0	32	7	0	32	17	0	12	0	4	183	23	20	1	3	33	6	17	295	2	2	5	0	9	0	4	45	7	11	1	0	0	0	3	3	9	3	7	6	4	1	745	27	324	27	7	400	1013	61	71	7	57	64	1	1	56	0	7	39	20	8	6	155	41	43	14	61	354	5	11	4	49	9	14	31	16	4	19	0	278	35	140	0	0	38	36	305	130	7	42	6	41	11	41	29	249	0	55	0	5	19	17	13	63	1	39	28	0	10	100	40	5	0	5	41	20	51	63	223	109	119	1	2	6	10	107	7	3	0	242	54	0	1	1	8	14	0	0	1	1	0	60	56	93	0	18	7	52	10	27	2	39	111	32	1	353	35	38	1	94	8	2	10	163	9	4	2	7	3	8	1	0	8	3	0	19	0	5	15	3	0	0	11	20	3	0	3	6	8	3	17	11	5	1	12	0	0	2	5	23	10	55	5	0	5	0	0	15	3	0	14	46	3	9	0	2	1	3	3	8	1	22	14	1	1	0	0	3	1	0	2	0	0	15	12	2	3	6	5	0	6	1
"tax_73"	22	118	37	19	33	1	76	0	8	19	102	0	13	11	67	0	0	1	0	1	29	9	22	13	1	1	0	11	259	41	36	10	63	0	67	7	1	53	1	4	0	7	40	0	0	0	0	5	32	2	2	337	0	0	34	1	27	536	0	3	105	148	649	1	1	90	5	17	30	4	11	122	43	29	0	119	0	82	7	201	187	297	10	355	0	0	76	188	256	0	5	556	137	43	104	35	172	30	140	149	202	57	203	18	45	96	23	140	150	31	1	12	863	16	37	39	23	25	127	134	47	43	138	103	51	109	72	63	99	21	73	147	27	39	6	46	92	58	29	33	16	9	52	121	105	75	64	107	45	146	47	25	51	136	4	393	66	8	211	62	68	67	25	36	40	55	15	77	12	35	16	43	33	35	52	35	106	66	48	36	41	122	42	161	53	34	102	63	54	25	26	78	27	139	113	128	163	75	28	40	129	45	191	51	166	68	107	44	10	45	586	96	46	141	52	23	181	216	30	64	38	100	36	312	96	140	3	69	7	87	37	44	24	77	105	72	59	206	87	84	116	52	37	12	54
"tax_154"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	5	0	1	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	5	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tax_156"	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	2	1	9	0	0	0	0	17	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tax_371"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tax_431"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	53	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tax_475"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	19	0	0	0	0	0	0	1	0	31	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tax_648"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tax_833"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tax_913"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
